,Index,theta,beta
0,0,0.0047123889803846,0.5235987755982989
1,1,0.0267035375555132,0.5410520681182422
2,2,0.0534070751110264,0.5585053606381856
3,3,0.0785398163397448,0.5759586531581288
4,4,0.0989601685880784,0.5934119456780721
5,5,0.1272345024703866,0.6108652381980154
6,6,0.15079644737231,0.6283185307179587
7,7,0.1743583922742335,0.6457718232379019
8,8,0.196349540849362,0.6632251157578453
9,9,0.2167698930976957,0.6806784082777886
10,10,0.2387610416728242,0.6981317007977319
11,11,0.2591813939211579,0.7155849933176752
12,12,0.2780309498426967,0.7330382858376184
13,13,0.2984513020910304,0.7504915783575618
14,14,0.3173008580125691,0.7679448708775051
15,15,0.334579617607313,0.7853981633974483
16,16,0.3518583772020568,0.8028514559173916
17,17,0.3691371367968007,0.8203047484373349
18,18,0.3864158963915445,0.8377580409572782
19,19,0.4021238596594935,0.8552113334772216
20,20,0.4178318229274425,0.8726646259971648
21,21,0.4319689898685965,0.8901179185171082
22,22,0.4461061568097506,0.9075712110370514
23,23,0.4602433237509046,0.9250245035569946
24,24,0.4728096943652639,0.9424777960769379
25,25,0.485376064979623,0.9599310885968813
26,26,0.4979424355939822,0.9773843811168246
27,27,0.5089380098815465,0.9948376736367679
28,28,0.5199335841691107,1.0122909661567112
29,29,0.5293583621298801,1.0297442586766543
30,30,0.5372123437638546,1.0471975511965979
31,31,0.546637121724624,1.064650843716541
32,32,0.5529203070318035,1.0821041362364845
33,33,0.5592034923389833,1.0995574287564276
34,34,0.5654866776461628,1.117010721276371
35,35,0.5701990666265475,1.1344640137963142
36,36,0.5733406592801373,1.1519173063162575
37,37,0.5749114556069321,1.1693705988362009
38,38,0.5749114556069321,1.186823891356144
39,39,0.5749114556069321,1.2042771838760875
40,40,0.5717698629533423,1.2217304763960306
41,41,0.5686282702997526,1.239183768915974
42,42,0.562345084992573,1.2566370614359172
43,43,0.5544911033585985,1.2740903539558606
44,44,0.5434955290710342,1.2915436464758039
45,45,0.5324999547834699,1.308996938995747
46,46,0.5183627878423158,1.3264502315156905
47,47,0.501084028247572,1.3439035240356336
48,48,0.4806636759992383,1.3613568165555772
49,49,0.4571017310973149,1.3788101090755203
50,50,0.4303981935418017,1.3962634015954638
51,51,0.4021238596594935,1.413716694115407
52,52,0.3691371367968007,1.4311699866353502
53,53,0.333008821280518,1.4486232791552935
54,54,0.2921681167838507,1.4660765716752366
55,55,0.2497566159603885,1.4835298641951802
56,56,0.2042035224833365,1.5009831567151233
57,57,0.1555088363526947,1.5184364492350668
58,58,0.105243353895258,1.53588974175501
59,59,0.0534070751110264,1.5533430342749532
60,60,0.0,1.5707963267948966
