,Index,theta,beta
0,0,0.0062831853071795,0.5235987755982989
1,1,0.0345575191894877,0.5410520681182422
2,2,0.0691150383789754,0.5585053606381856
3,3,0.1021017612416682,0.5759586531581288
4,4,0.1288052987971815,0.5934119456780721
5,5,0.166504410640259,0.6108652381980154
6,6,0.196349540849362,0.6283185307179587
7,7,0.2261946710584651,0.6457718232379019
8,8,0.2544690049407732,0.6632251157578453
9,9,0.2811725424962865,0.6806784082777886
10,10,0.3063052837250048,0.6981317007977319
11,11,0.3314380249537232,0.7155849933176752
12,12,0.3549999698556466,0.7330382858376184
13,13,0.3769911184307751,0.7504915783575618
14,14,0.3989822670059037,0.7679448708775051
15,15,0.4194026192542374,0.7853981633974483
16,16,0.4382521751757761,0.8028514559173916
17,17,0.45553093477052,0.8203047484373349
18,18,0.4743804906920587,0.8377580409572782
19,19,0.4900884539600077,0.8552113334772216
20,20,0.5057964172279567,0.8726646259971648
21,21,0.5215043804959058,0.8901179185171082
22,22,0.5356415474370597,0.9075712110370514
23,23,0.5482079180514189,0.9250245035569946
24,24,0.560774288665778,0.9424777960769379
25,25,0.5733406592801373,0.9599310885968813
26,26,0.5827654372409067,0.9773843811168246
27,27,0.5890486225480862,0.9948376736367679
28,28,0.5937610115284709,1.0122909661567112
29,29,0.5984734005088556,1.0297442586766543
30,30,0.6031857894892403,1.0471975511965979
31,31,0.607898178469625,1.064650843716541
32,32,0.6126105674500096,1.0821041362364845
33,33,0.6157521601035995,1.0995574287564276
34,34,0.6204645490839842,1.117010721276371
35,35,0.6236061417375739,1.1344640137963142
36,36,0.6267477343911637,1.1519173063162575
37,37,0.6298893270447535,1.1693705988362009
38,38,0.6314601233715484,1.186823891356144
39,39,0.6330309196983432,1.2042771838760875
40,40,0.6346017160251383,1.2217304763960306
41,41,0.6330309196983432,1.239183768915974
42,42,0.6251769380643689,1.2566370614359172
43,43,0.6157521601035995,1.2740903539558606
44,44,0.6047565858160352,1.2915436464758039
45,45,0.5906194188748811,1.308996938995747
46,46,0.5749114556069321,1.3264502315156905
47,47,0.5544911033585985,1.3439035240356336
48,48,0.5324999547834699,1.3613568165555772
49,49,0.5073672135547516,1.3788101090755203
50,50,0.4790928796724434,1.3962634015954638
51,51,0.4461061568097506,1.413716694115407
52,52,0.409977841293468,1.4311699866353502
53,53,0.3691371367968007,1.4486232791552935
54,54,0.3267256359733385,1.4660765716752366
55,55,0.2780309498426967,1.4835298641951802
56,56,0.22776546738526,1.5009831567151233
57,57,0.1743583922742335,1.5184364492350668
58,58,0.1178097245096172,1.53588974175501
59,59,0.059690260418206,1.5533430342749532
60,60,0.0,1.5707963267948966
