"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 8.752535211749343e-03, 2.087378954630404e-01, 2.094999999688162e+02, 1.203994181513874e+04, 1.084634389566714e-06, 7.960512303064509e+07, 8.202729999654223e+05, 6.514396178467256e+02, 1.700000001108349e+00, -9.994500257045850e-11
1, 9.903430981962846e-01, 1.296882898031918e-02, 1.118812964384139e+02, 7.206702353858373e+03, -2.060131416127811e+03, 4.224377155218074e+07, 7.156278814532208e+05, 6.349600994301720e+02, 1.327253273485488e+00, -3.024713334780843e-01
2, 9.912422023254456e-01, 9.912632399569398e-01, 2.094999000713616e+02, 1.203993826143700e+04, -1.780403650981838e-03, 7.960508478283438e+07, 8.202728846650776e+05, 6.514396027758354e+02, 1.700003384524347e+00, -3.333696618995462e-07
3, 8.735877593795372e-03, 9.912413198062923e-01, 2.095000000000679e+02, 1.203994181582452e+04, -3.908666448956783e-08, 7.960512304255666e+07, 8.202730000000885e+05, 6.514396178512086e+02, 1.699999999997950e+00, 2.557343005640983e-13
4, 4.503787863817728e-01, 5.754594640928551e-01, 2.095000066766531e+02, 1.203994201872660e+04, 1.290606675929395e-04, 7.960512559408802e+07, 8.202730075744265e+05, 6.514396188367274e+02, 1.699999769752384e+00, 2.189349019158262e-08
5, 4.671270031962240e-01, 5.730811112446877e-01, 2.095000088940914e+02, 1.203994210107200e+04, 1.940522367574602e-04, 7.960512643909204e+07, 8.202730099331411e+05, 6.514396191381491e+02, 1.699999696311030e+00, 2.871123339359119e-08
6, 4.871417241073250e-01, 5.711264815966407e-01, 2.095000045476746e+02, 1.203994195933755e+04, 1.636001529151105e-04, 7.960512477346408e+07, 8.202730048086224e+05, 6.514396184646216e+02, 1.699999845968543e+00, 1.389907578551856e-08
7, 5.082481321060657e-01, 5.698999909772684e-01, 2.094999648186910e+02, 1.203994075292465e+04, -7.150366406668872e-04, 7.960510958968900e+07, 8.202729596917643e+05, 6.514396125927333e+02, 1.700001216446504e+00, -1.165088822606851e-07
8, 5.295034124172252e-01, 5.697523320870552e-01, 2.094997362341362e+02, 1.203993314597982e+04, -6.170461563093550e-03, 7.960502215436977e+07, 8.202726983963847e+05, 6.514395785256501e+02, 1.700009017646210e+00, -8.717697391299881e-07
9, 5.471818769214407e-01, 5.717835981697891e-01, 2.094991645555156e+02, 1.203991318902410e+04, -2.066294130903797e-02, 7.960480343064408e+07, 8.202720449787714e+05, 6.514394933353623e+02, 1.700028396210645e+00, -2.760439746626813e-06
10, 5.641315629263888e-01, 5.659158996963647e-01, 2.094964822159093e+02, 1.203981947925169e+04, -8.800319792236529e-02, 7.960377716294111e+07, 8.202689791550189e+05, 6.514390935945529e+02, 1.700119314849021e+00, -1.162204563407845e-05
11, 4.185675416031282e-01, 5.859428184769468e-01, 2.095000003774684e+02, 1.203994181209149e+04, -2.196993268099081e-05, 7.960512318615837e+07, 8.202730004400993e+05, 6.514396179088740e+02, 1.699999984767296e+00, 1.272084325625961e-09
12, 4.069824479603157e-01, 5.784254012687486e-01, 2.094999994873149e+02, 1.203994178589660e+04, -4.092782125939153e-05, 7.960512284598443e+07, 8.202729994282816e+05, 6.514396177771546e+02, 1.700000015597225e+00, -1.652522746965132e-09
13, 4.325960992362932e-01, 5.686180099982920e-01, 2.095000050143496e+02, 1.203994195660754e+04, 8.285547271934870e-05, 7.960512495873627e+07, 8.202730057165269e+05, 6.514396185959658e+02, 1.699999825276629e+00, 1.652332696000712e-08
14, 4.139667954811296e-01, 5.709419757203851e-01, 2.095000013604380e+02, 1.203994184016623e+04, -3.392190864092066e-06, 7.960512356208496e+07, 8.202730015733107e+05, 6.514396180569503e+02, 1.699999950509695e+00, 4.547573664261030e-09
15, 4.398467439462022e-01, 5.876440407451151e-01, 2.095000029530278e+02, 1.203994189454767e+04, 4.116637740366502e-05, 7.960512417101608e+07, 8.202730033781938e+05, 6.514396182917241e+02, 1.699999896443907e+00, 9.764495519058507e-09
16, 4.589907800039553e-01, 5.885851785833607e-01, 2.095000058367524e+02, 1.203994199584745e+04, 1.114305291282675e-04, 7.960512527269536e+07, 8.202730065944078e+05, 6.514396187082654e+02, 1.699999799249086e+00, 1.906079671855427e-08
17, 4.537903449543768e-01, 5.603717737763614e-01, 2.095000093768260e+02, 1.203994210647799e+04, 1.918819210862857e-04, 7.960512662441979e+07, 8.202730105468007e+05, 6.514396192202991e+02, 1.699999677970035e+00, 3.048498496678373e-08
18, 4.745694261368330e-01, 5.564057544884566e-01, 2.095000063274672e+02, 1.203994200022256e+04, 1.857151330205367e-04, 7.960512545456886e+07, 8.202730069089932e+05, 6.514396187407441e+02, 1.699999782252640e+00, 1.997008963554999e-08
19, 4.782970803158697e-01, 5.877996580408229e-01, 2.095000078994010e+02, 1.203994207704626e+04, 1.772013246652389e-04, 7.960512605762425e+07, 8.202730087236185e+05, 6.514396189779438e+02, 1.699999731962850e+00, 2.521517052877958e-08
20, 4.962763527488619e-01, 5.539352078784860e-01, 2.094999542269044e+02, 1.203994042024582e+04, -9.159920250153599e-04, 7.960510553646821e+07, 8.202729474443072e+05, 6.514396109910966e+02, 1.700001581538130e+00, -1.519095273463518e-07
21, 4.984822795490413e-01, 5.869189001509747e-01, 2.095000039175431e+02, 1.203994194110986e+04, 1.490624900619187e-04, 7.960512453257045e+07, 8.202730040873000e+05, 6.514396183705428e+02, 1.699999867866893e+00, 1.181413056375959e-08
22, 5.189605399103239e-01, 5.864196586247548e-01, 2.094999792180920e+02, 1.203994119550981e+04, -4.109004413500346e-04, 7.960511509607781e+07, 8.202729761811779e+05, 6.514396147435922e+02, 1.700000719680748e+00, -6.884708036193276e-08
23, 5.190061317105834e-01, 5.525371816637163e-01, 2.094995326554846e+02, 1.203992661950248e+04, -1.070501339395302e-02, 7.960494429815575e+07, 8.202724656817219e+05, 6.514395481844193e+02, 1.700016000558169e+00, -1.544419503903728e-06
24, 5.388744709301981e-01, 5.863384506552036e-01, 2.094998535171598e+02, 1.203993699311939e+04, -3.387953129859432e-03, 7.960506701201341e+07, 8.202728324247440e+05, 6.514395959986829e+02, 1.700005007306424e+00, -4.843676593267573e-07
25, 5.444321993665513e-01, 5.527881790049285e-01, 2.094973271099818e+02, 1.203985062683059e+04, -6.625924134595788e-02, 7.960410051074447e+07, 8.202699446261199e+05, 6.514392194766262e+02, 1.700090907733260e+00, -8.831401068832909e-06
26, 5.586457016570469e-01, 5.850624899627601e-01, 2.094993200879561e+02, 1.203991887506758e+04, -1.629659292278368e-02, 7.960486295201550e+07, 8.202722227508365e+05, 6.514395165129386e+02, 1.700023160205792e+00, -2.246598734733473e-06
27, 5.841133663789830e-01, 5.588160998406618e-01, 2.094842819093949e+02, 1.203939083016292e+04, -3.987261147533296e-01, 7.959910910089014e+07, 8.202550352091622e+05, 6.514372748768494e+02, 1.700532582359765e+00, -5.192630402484603e-05
28, 5.680061193115518e-01, 5.460291279648184e-01, 2.094849455196737e+02, 1.203941291673651e+04, -3.840029742394072e-01, 7.959936291996045e+07, 8.202557925551725e+05, 6.514373736467364e+02, 1.700509933053737e+00, -4.973723433080457e-05
29, 5.819768024843369e-01, 5.820703195568978e-01, 2.094965511001963e+02, 1.203982291510221e+04, -8.587173999792548e-02, 7.960380357929072e+07, 8.202690579771469e+05, 6.514391038756071e+02, 1.700117124741319e+00, -1.139421432672683e-05
30, 5.859545160489307e-01, 5.414105604218550e-01, 2.094557498555903e+02, 1.203837682177552e+04, -1.137817203420051e+00, 7.958819128250270e+07, 8.202224364026389e+05, 6.514330192691968e+02, 1.701497879375493e+00, -1.461514777913072e-04
31, 3.931797416076236e-01, 6.062642183934123e-01, 2.094999976271642e+02, 1.203994173655699e+04, -6.607452601331397e-05, 7.960512213500789e+07, 8.202729972934551e+05, 6.514396174985287e+02, 1.700000080904196e+00, -7.823128955426244e-09
