"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Points:0","Points:1","Points:2"
348.73,9775.5,-3491.4,0,1.3745e+08,2.7769e+06,536.74,0.29527,-3.4361,1.6089,0
345.79,10456,-3417,0,1.3629e+08,2.7479e+06,536.47,0.32268,-3.1547,1.5106,0
342.89,11409,-3243.9,0,1.3516e+08,2.7206e+06,536.2,0.35851,-2.8704,1.4208,0
338.79,12241,-3141.2,0,1.3355e+08,2.6837e+06,535.82,0.39819,-2.5835,1.3395,0
334.15,13015,-2964.9,0,1.3172e+08,2.6444e+06,535.38,0.44041,-2.2944,1.2668,0
328.68,13742,-2730.6,0,1.2956e+08,2.6011e+06,534.87,0.48718,-2.0032,1.2027,0
322.04,14476,-2439.1,0,1.2693e+08,2.5524e+06,534.24,0.5427,-1.7102,1.1473,0
314.26,15179,-2081.9,0,1.2386e+08,2.5001e+06,533.5,0.60618,-1.4158,1.1007,0
305.43,15808,-1713.9,0,1.2036e+08,2.4456e+06,532.66,0.67597,-1.12,1.0629,0
295.19,16299,-1320.8,0,1.163e+08,2.3875e+06,531.65,0.7507,-0.82328,1.0339,0
283.19,16649,-872.15,0,1.1153e+08,2.3249e+06,530.46,0.83061,-0.52581,1.0138,0
269.17,16829,-410.8,0,1.0596e+08,2.2571e+06,529,0.91494,-0.22788,1.0026,0
235.81,16730,480,0,9.2691e+07,2.1106e+06,525.28,1.0984,0.36296,1.0066,0
214.81,16276,994.45,0,8.4332e+07,2.025e+06,522.7,1.2003,0.65536,1.0215,0
198.56,15793,1349.7,0,7.7862e+07,1.9606e+06,520.55,1.2708,0.94719,1.045,0
181.79,15152,1671.1,0,7.1185e+07,1.8942e+06,518.17,1.3237,1.2382,1.0769,0
163.41,14329,2038.9,0,6.387e+07,1.8184e+06,515.37,1.3511,1.5282,1.1175,0
146.62,13514,2339.2,0,5.7196e+07,1.7424e+06,512.61,1.3488,1.8168,1.1664,0
130.97,12754,2589.3,0,5.0984e+07,1.6619e+06,509.84,1.3349,2.1039,1.2238,0
117.09,12045,2778.4,0,4.5485e+07,1.5793e+06,507.18,1.3183,2.3892,1.2896,0
104.23,11344,2969.8,0,4.0401e+07,1.4906e+06,504.53,1.3063,2.6724,1.3637,0
90.339,10616,3076.5,0,3.4934e+07,1.3789e+06,501.41,1.3099,2.9534,1.4461,0
76.168,9723.4,3221.6,0,2.9371e+07,1.2445e+06,497.89,1.3242,3.2318,1.5366,0
66.596,9050.7,3260.4,0,2.5626e+07,1.1401e+06,495.25,1.3444,3.5074,1.6353,0
57.895,8376.9,3264.1,0,2.2233e+07,1.0345e+06,492.62,1.3735,3.7801,1.742,0
51.617,7864.6,3181,0,1.9792e+07,9.5135e+05,490.54,1.4016,4.0496,1.8562,0
47.834,7584.1,3022.2,0,1.8326e+07,8.9823e+05,489.19,1.4241,4.3198,1.969,0
45.242,7435.2,2816.7,0,1.7326e+07,8.6048e+05,488.22,1.4447,4.5925,2.0757,0
43.436,7341.8,2618.8,0,1.663e+07,8.3351e+05,487.52,1.4601,4.8674,2.1765,0
41.933,7261.3,2428,0,1.6051e+07,8.1064e+05,486.93,1.4729,5.1443,2.2715,0
40.63,7185.8,2248.4,0,1.5548e+07,7.9049e+05,486.4,1.4839,5.423,2.361,0
39.389,7107.7,2078.2,0,1.5069e+07,7.7102e+05,485.88,1.4949,5.7034,2.4452,0
38.124,7019.6,1914.7,0,1.4582e+07,7.509e+05,485.34,1.5067,5.9854,2.5242,0
36.547,6888.8,1744,0,1.3975e+07,7.2539e+05,484.65,1.5214,6.2686,2.5982,0
35.385,6787.2,1599.9,0,1.3526e+07,7.063e+05,484.12,1.532,6.5531,2.6674,0
34.302,6688.6,1463.5,0,1.3109e+07,6.883e+05,483.62,1.5423,6.8387,2.732,0
33.269,6589.5,1334.5,0,1.2711e+07,6.7091e+05,483.13,1.5525,7.1252,2.792,0
32.272,6490.1,1212.5,0,1.2327e+07,6.5395e+05,482.64,1.563,7.4127,2.8477,0
31.329,6385.9,1092.7,0,1.1963e+07,6.3772e+05,482.17,1.5717,7.7009,2.8991,0
30.486,6293.6,985.93,0,1.1638e+07,6.2307e+05,481.74,1.5807,7.9899,2.9463,0
29.82,6223.2,891.72,0,1.1382e+07,6.114e+05,481.39,1.589,8.2795,2.9894,0
29.104,6154,797.44,0,1.1109e+07,5.9875e+05,481.01,1.6007,8.5696,3.0287,0
28.7,6116.1,716.31,0,1.0955e+07,5.9158e+05,480.79,1.6072,8.8602,3.0641,0
28.268,6070.4,632.76,0,1.079e+07,5.8387e+05,480.55,1.6135,9.1513,3.0957,0
27.82,6019.6,551.07,0,1.0618e+07,5.7582e+05,480.31,1.6198,9.4427,3.1237,0
27.406,5970.4,472.99,0,1.0459e+07,5.6838e+05,480.08,1.6254,9.7345,3.1481,0
27.093,5933.7,400.48,0,1.0339e+07,5.6271e+05,479.9,1.6299,10.027,3.169,0
26.653,5875.6,327.51,0,1.017e+07,5.5472e+05,479.65,1.6355,10.319,3.1865,0
26.105,5795.6,258.5,0,9.9579e+06,5.4469e+05,479.32,1.6413,10.611,3.2007,0
