Mach Pressure Temperature x cp cv gamma f1 f2 pt2
1.2712 2.9951 0.84938 -0.076554 1046.46012201515 743.570172609885 1.40734548071252 9.95980948745709 3.78713632658248 0.98461588500928
1.2905 2.9199 0.84314 -0.065308 1046.39630948576 743.55356715117 1.40729108932245 11.0543949919763 4.10794757500175 0.982185419143214
1.3097 2.8448 0.8369 -0.054062 1046.32998988733 743.537057305404 1.40723314272896 12.2442304908204 4.4478788661524 0.978916622240025
1.3289 2.7696 0.83066 -0.042815 1046.26049028781 743.520512612529 1.40717098256178 13.5424583421915 4.80954055258216 0.974824389481826
1.3483 2.6977 0.82439 -0.031569 1046.19707304956 743.505352545533 1.40711437983292 14.9721336971063 5.19789034161174 0.971327431510301
1.3677 2.6273 0.8181 -0.020323 1046.13506451925 743.490835243108 1.40705845308393 16.5293525183555 5.61041861266237 0.967577274460174
1.3872 2.5568 0.81181 -0.009077 1046.0697833036 743.476213947838 1.40699831908408 18.2328810133936 6.05065361992341 0.963086249406597
1.4067 2.4864 0.80552 0.0021692 1046.00157921767 743.46152079462 1.40693438726956 20.0852166401682 6.51771191859002 0.957784435346978
1.4263 2.4204 0.79922 0.013415 1045.94258611537 743.448671087982 1.40687935400396 22.1067642205013 7.01502693236338 0.953451045518944
1.4459 2.3548 0.79292 0.024661 1045.881646674 743.43587340127 1.406821602365 24.3007392857297 7.54182678330435 0.948445495248805
1.4656 2.2893 0.78662 0.035908 1045.81775873257 743.422945849433 1.40676012836491 26.692053514583 8.10236580593622 0.942732038704615
1.4853 2.2244 0.78032 0.047154 1045.75223631924 743.41007928397 1.40669633821279 29.2829547871296 8.69535871283696 0.936387697106346
1.505 2.1643 0.77406 0.0584 1045.69698577277 743.399196497415 1.40664260964991 32.0854376994217 9.32162539533885 0.931213363996537
1.5247 2.1042 0.7678 0.069646 1045.63855482366 743.388094072228 1.40658501684594 35.1157248549743 9.9831547542368 0.925201373552129
1.5444 2.0442 0.76153 0.080892 1045.57726946414 743.376803418417 1.40652393867559 38.3891910845857 10.6814283080691 0.918371575688615
1.564 1.9861 0.75533 0.092138 1045.51715112784 743.365976528832 1.40646355111639 41.9026807156126 11.4139113265888 0.911431099660023
1.5833 1.9321 0.74923 0.10338 1045.46502521231 743.356717142362 1.40641094793805 45.6271534187597 12.1729927926671 0.905255201722331
