,Index,VAD/vc,PAD/Pc,VBD/vc,PBD/Pc
0,0,1.206122448979592,0.9973695372702276,2.2037288135593225,0.8412992123983817
1,1,1.2551020408163265,1.0030806331327329,2.07388105456775,0.8689049792648279
2,2,1.2979591836734694,1.004585353546416,1.9574706211527706,0.8932232688885962
3,3,1.3224489795918368,1.0045941269544576,1.910991957104558,0.9036785242245571
4,4,1.353061224489796,1.0033730603542659,1.8398082744702322,0.9186668092483115
5,5,1.3897959183673467,1.000872302639951,1.7844211529299665,0.9311639287750478
6,6,1.3959183673469386,0.9997911811324509,1.7922820390662217,0.9298233491129687
7,7,1.4448979591836733,0.9948466080682941,1.6690955850835834,0.9546642117600077
8,8,1.4510204081632652,0.9937494531940088,1.7046643417611156,0.9483021156893898
9,9,1.457142857142857,0.9926525794817166,1.6555649241146713,0.9571081190939473
