,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z,s
0,209.5,240830000.0,1.7,10512.0,7.1018e-10,0,820270.0,-8.5289e-13,652.43,1,0.0,0.0,0.3,0,0.08840759197453951,0.4811006419211227,496.85367830017316
1,209.5,240830000.0,1.7,10512.0,7.692e-10,0,820270.0,-7.5828e-13,652.43,1,0.001,0.001,0.3,0,0.08840759197453951,0.4811006419211227,496.85367830017316
2,209.5,240830000.0,1.7,10512.0,8.2823e-10,0,820270.0,-6.6367e-13,652.43,1,0.002,0.002,0.3,0,0.08840759197453951,0.4811006419211227,496.85367830017316
3,209.5,240830000.0,1.7,10512.0,8.8725e-10,0,820270.0,-5.6906e-13,652.43,1,0.003,0.003,0.3,0,0.08840759197453951,0.4811006419211227,496.85367830017316
4,209.5,240830000.0,1.7,10512.0,9.4627e-10,0,820270.0,-4.7444e-13,652.43,1,0.004,0.004,0.3,0,0.08840759197453951,0.4811006419211227,496.85367830017316
5,209.5,240830000.0,1.7,10512.0,1.0053e-09,0,820270.0,-3.7983e-13,652.43,1,0.005,0.005,0.3,0,0.08840759197453951,0.4811006419211227,496.85367830017316
6,209.5,240830000.0,1.7,10512.0,1.0643e-09,0,820270.0,-2.8522e-13,652.43,1,0.006,0.006,0.3,0,0.08840759197453951,0.4811006419211227,496.85367830017316
7,209.5,240830000.0,1.7,10512.0,1.1233e-09,0,820270.0,-1.9061e-13,652.43,1,0.007,0.007,0.3,0,0.08840759197453951,0.4811006419211227,496.85367830017316
8,209.5,240830000.0,1.7,10512.0,1.1824e-09,0,820270.0,-9.5993e-14,652.43,1,0.008,0.008,0.3,0,0.08840759197453951,0.4811006419211227,496.85367830017316
9,209.5,240830000.0,1.7,10512.0,1.2414e-09,0,820270.0,-1.3807e-15,652.43,1,0.009,0.009,0.3,0,0.08840759197453951,0.4811006419211227,496.85367830017316
10,209.5,240830000.0,1.7,10512.0,1.3004e-09,0,820270.0,9.3232e-14,652.43,1,0.01,0.01,0.3,0,0.08840759197453951,0.4811006419211227,496.85367830017316
11,209.5,240830000.0,1.7,10512.0,1.3594e-09,0,820270.0,1.8784e-13,652.43,1,0.011,0.011,0.3,0,0.08840759197453951,0.4811006419211227,496.85367830017316
12,209.5,240830000.0,1.7,10512.0,1.4185e-09,0,820270.0,2.8246e-13,652.43,1,0.012,0.012,0.3,0,0.08840759197453951,0.4811006419211227,496.85367830017316
13,209.5,240830000.0,1.7,10512.0,1.4775e-09,0,820270.0,3.7707e-13,652.43,1,0.013,0.013,0.3,0,0.08840759197453951,0.4811006419211227,496.85367830017316
14,209.5,240830000.0,1.7,10512.0,1.5365e-09,0,820270.0,4.7168e-13,652.43,1,0.014,0.014,0.3,0,0.08840759197453951,0.4811006419211227,496.85367830017316
15,209.5,240830000.0,1.7,10512.0,1.5955e-09,0,820270.0,5.663e-13,652.43,1,0.015,0.015,0.3,0,0.08840759197453951,0.4811006419211227,496.85367830017316
16,209.5,240830000.0,1.7,10512.0,1.6546e-09,0,820270.0,6.6091e-13,652.43,1,0.016,0.016,0.3,0,0.08840759197453951,0.4811006419211227,496.85367830017316
