,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z,s
0,209.5,63079000.0,1.7,9729.0,3.3243e-08,0,820270.0,-2.6562e-11,652.64,,0.0,0.0,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
1,209.5,63079000.0,1.7,9729.0,3.4427e-08,0,820270.0,-2.6991e-11,652.64,,0.001,0.001,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
2,209.5,63079000.0,1.7,9729.0,3.561e-08,0,820270.0,-2.742e-11,652.64,,0.002,0.002,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
3,209.5,63079000.0,1.7,9729.0,3.6793e-08,0,820270.0,-2.7848e-11,652.64,,0.003,0.003,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
4,209.5,63079000.0,1.7,9729.0,3.7976e-08,0,820270.0,-2.8277e-11,652.64,,0.004,0.004,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
5,209.5,63079000.0,1.7,9729.0,3.9159e-08,0,820270.0,-2.8706e-11,652.64,,0.005,0.005,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
6,209.5,63079000.0,1.7,9729.0,4.0343e-08,0,820270.0,-2.9134e-11,652.64,,0.006,0.006,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
7,209.5,63079000.0,1.7,9729.0,4.1526e-08,0,820270.0,-2.9563e-11,652.64,,0.007,0.007,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
8,209.5,63079000.0,1.7,9729.0,4.2709e-08,0,820270.0,-2.9992e-11,652.64,,0.008,0.008,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
9,209.5,63079000.0,1.7,9729.0,4.3892e-08,0,820270.0,-3.042e-11,652.64,,0.009,0.009,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
10,209.5,63079000.0,1.7,9729.0,4.5075e-08,0,820270.0,-3.0849e-11,652.64,,0.01,0.01,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
11,209.5,63079000.0,1.7,9729.0,4.6259e-08,0,820270.0,-3.1278e-11,652.64,,0.011,0.011,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
12,209.5,63079000.0,1.7,9729.0,4.7442e-08,0,820270.0,-3.1706e-11,652.64,,0.012,0.012,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
13,209.5,63079000.0,1.7,9729.0,4.8625e-08,0,820270.0,-3.2135e-11,652.64,,0.013,0.013,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
14,209.5,63079000.0,1.7,9729.0,4.9808e-08,0,820270.0,-3.2564e-11,652.64,,0.014,0.014,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
15,209.5,63079000.0,1.7,9729.0,5.0991e-08,0,820270.0,-3.2992e-11,652.64,,0.015,0.015,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
16,209.5,63079000.0,1.7,9729.0,5.2175e-08,0,820270.0,-3.3421e-11,652.64,,0.016,0.016,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
17,209.5,63079000.0,1.7,9729.0,5.3358e-08,0,820270.0,-3.385e-11,652.64,,0.017,0.017,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
18,209.5,63079000.0,1.7,9729.0,5.4628e-08,0,820270.0,-3.4332e-11,652.64,,0.018,0.018,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
19,209.5,63079000.0,1.7,9729.0,5.6201e-08,0,820270.0,-3.4998e-11,652.64,,0.019,0.019,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
20,209.5,63079000.0,1.7,9729.0,5.7773e-08,0,820270.0,-3.5665e-11,652.64,,0.02,0.02,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
21,209.5,63079000.0,1.7,9729.0,5.9346e-08,0,820270.0,-3.6332e-11,652.64,,0.021,0.021,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
22,209.5,63079000.0,1.7,9729.0,6.0918e-08,0,820270.0,-3.6998e-11,652.64,,0.022,0.022,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
23,209.5,63079000.0,1.7,9729.0,6.249e-08,0,820270.0,-3.7665e-11,652.64,,0.023,0.023,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
24,209.5,63079000.0,1.7,9729.0,6.4063e-08,0,820270.0,-3.8332e-11,652.64,,0.024,0.024,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
25,209.5,63079000.0,1.7,9729.0,6.5635e-08,0,820270.0,-3.8998e-11,652.64,,0.025,0.025,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
26,209.5,63079000.0,1.7,9729.0,6.7207e-08,0,820270.0,-3.9665e-11,652.64,,0.026,0.026,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
27,209.5,63079000.0,1.7,9729.0,6.878e-08,0,820270.0,-4.0332e-11,652.64,,0.027,0.027,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
28,209.5,63079000.0,1.7,9729.0,7.0352e-08,0,820270.0,-4.0998e-11,652.64,,0.028,0.028,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
29,209.5,63079000.0,1.7,9729.0,7.1925e-08,0,820270.0,-4.1665e-11,652.64,,0.029,0.029,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
30,209.5,63079000.0,1.7,9729.0,7.3497e-08,0,820270.0,-4.2332e-11,652.64,,0.03,0.03,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
31,209.5,63079000.0,1.7,9729.0,7.5069e-08,0,820270.0,-4.2998e-11,652.64,,0.031,0.031,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
32,209.5,63079000.0,1.7,9729.0,7.6642e-08,0,820270.0,-4.3665e-11,652.64,,0.032,0.032,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
33,209.5,63079000.0,1.7,9729.0,7.8214e-08,0,820270.0,-4.4332e-11,652.64,,0.033,0.033,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
34,209.5,63079000.0,1.7,9729.0,7.9786e-08,0,820270.0,-4.4999e-11,652.64,,0.034,0.034,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
35,209.5,63079000.0,1.7,9729.0,8.1359e-08,0,820270.0,-4.5665e-11,652.64,,0.035,0.035,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
36,209.5,63079000.0,1.7,9729.0,8.3347e-08,0,820270.0,-4.6435e-11,652.64,,0.036,0.036,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
37,209.5,63079000.0,1.7,9729.0,8.5351e-08,0,820270.0,-4.7361e-11,652.64,,0.037,0.037,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
38,209.5,63079000.0,1.7,9729.0,8.7356e-08,0,820270.0,-4.8287e-11,652.64,,0.038,0.038,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
39,209.5,63079000.0,1.7,9729.0,8.936e-08,0,820270.0,-4.9213e-11,652.64,,0.039,0.039,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
40,209.5,63079000.0,1.7,9729.0,9.1365e-08,0,820270.0,-5.0139e-11,652.64,,0.04,0.04,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
41,209.5,63079000.0,1.7,9729.0,9.337e-08,0,820270.0,-5.1065e-11,652.64,,0.041,0.041,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
42,209.5,63079000.0,1.7,9729.0,9.5374e-08,0,820270.0,-5.199e-11,652.64,,0.042,0.042,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
43,209.5,63079000.0,1.7,9729.0,9.7379e-08,0,820270.0,-5.2916e-11,652.64,,0.043,0.043,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
44,209.5,63079000.0,1.7,9729.0,9.9384e-08,0,820270.0,-5.3842e-11,652.64,,0.044,0.044,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
45,209.5,63079000.0,1.7,9729.0,1.0139e-07,0,820270.0,-5.4768e-11,652.64,,0.045,0.045,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
46,209.5,63079000.0,1.7,9729.0,1.0339e-07,0,820270.0,-5.5694e-11,652.64,,0.046,0.046,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
47,209.5,63079000.0,1.7,9729.0,1.054e-07,0,820270.0,-5.662e-11,652.64,,0.047,0.047,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
48,209.5,63079000.0,1.7,9729.0,1.074e-07,0,820270.0,-5.7545e-11,652.64,,0.048,0.048,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
49,209.5,63079000.0,1.7,9729.0,1.0941e-07,0,820270.0,-5.8471e-11,652.64,,0.049,0.049,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
50,209.5,63079000.0,1.7,9729.0,1.1141e-07,0,820270.0,-5.9397e-11,652.64,,0.05,0.05,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
51,209.5,63079000.0,1.7,9729.0,1.1342e-07,0,820270.0,-6.0323e-11,652.64,,0.051,0.051,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
52,209.5,63079000.0,1.7,9729.0,1.1542e-07,0,820270.0,-6.1249e-11,652.64,,0.052,0.052,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
53,209.5,63079000.0,1.7,9729.0,1.1743e-07,0,820270.0,-6.2175e-11,652.64,,0.053,0.053,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
54,209.5,63079000.0,1.7,9729.0,1.2007e-07,0,820270.0,-6.3657e-11,652.64,,0.054,0.054,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
55,209.5,63079000.0,1.7,9729.0,1.2275e-07,0,820270.0,-6.5177e-11,652.64,,0.055,0.055,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
56,209.5,63079000.0,1.7,9729.0,1.2544e-07,0,820270.0,-6.6697e-11,652.64,,0.056,0.056,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
57,209.5,63079000.0,1.7,9729.0,1.2812e-07,0,820270.0,-6.8217e-11,652.64,,0.057,0.057,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
58,209.5,63079000.0,1.7,9729.0,1.3081e-07,0,820270.0,-6.9737e-11,652.64,,0.058,0.058,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
59,209.5,63079000.0,1.7,9729.0,1.3349e-07,0,820270.0,-7.1257e-11,652.64,,0.059,0.059,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
60,209.5,63079000.0,1.7,9729.0,1.3618e-07,0,820270.0,-7.2777e-11,652.64,,0.06,0.06,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
61,209.5,63079000.0,1.7,9729.0,1.3886e-07,0,820270.0,-7.4298e-11,652.64,,0.061,0.061,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
62,209.5,63079000.0,1.7,9729.0,1.4155e-07,0,820270.0,-7.5818e-11,652.64,,0.062,0.062,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
63,209.5,63079000.0,1.7,9729.0,1.4424e-07,0,820270.0,-7.7338e-11,652.64,,0.063,0.063,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
64,209.5,63079000.0,1.7,9729.0,1.4692e-07,0,820270.0,-7.8858e-11,652.64,,0.064,0.064,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
65,209.5,63079000.0,1.7,9729.0,1.4961e-07,0,820270.0,-8.0378e-11,652.64,,0.065,0.065,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
66,209.5,63079000.0,1.7,9729.0,1.5229e-07,0,820270.0,-8.1898e-11,652.64,,0.066,0.066,0.3,0,0.32869970180803176,0.3311753550277774,507.6054086407861
