,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z,s
415,197.85,59536000.0,1.6565,9383.2,-248.68,0,811120.0,-0.040526,651.9,1,0.415,0.415,0.3,0,0.05874447112042991,0.3476923740648734,507.6149043123545
416,196.62,59160000.0,1.6506,9346.4,-275.39,0,810080.0,-0.045103,651.82,1,0.416,0.416,0.3,0,0.03444799887206018,0.3496374680316022,507.6149043123545
417,195.45,58804000.0,1.6451,9311.5,-300.72,0,809110.0,-0.049406,651.74,1,0.417,0.417,0.3,0,0.015469750405079807,0.35111477274462455,507.6149043123545
418,194.28,58447000.0,1.6397,9276.5,-326.05,0,808140.0,-0.05371,651.66,1,0.418,0.418,0.3,0,-0.0025072013608873345,0.3525741336513398,507.6149043123545
419,193.1,58091000.0,1.6342,9241.6,-351.38,0,807170.0,-0.058013,651.58,1,0.419,0.419,0.3,0,-0.019521540076398614,0.35401606514573525,507.6149043123545
420,191.52,57609000.0,1.6254,9194.6,-386.19,0,805700.0,-0.064503,651.47,1,0.42,0.42,0.3,0,-0.04628748752370404,0.3567207482746385,507.6149043123545
421,189.8,57082000.0,1.6154,9143.3,-424.43,0,804070.0,-0.071721,651.35,1,0.421,0.421,0.3,0,-0.07264499976560046,0.35970511547943684,507.6149043123545
422,188.11,56567000.0,1.6058,9093.1,-461.8,0,802490.0,-0.078707,651.23,1,0.422,0.422,0.3,0,-0.09429007815715518,0.36233518907390405,507.6149043123545
423,186.42,56052000.0,1.5962,9043.0,-499.17,0,800910.0,-0.085693,651.11,1,0.423,0.423,0.3,0,-0.11326739000931707,0.3648905892255996,507.6149043123545
424,184.71,55528000.0,1.5863,8992.0,-537.17,0,799300.0,-0.092843,650.99,1,0.424,0.424,0.3,0,-0.13026409496831182,0.3675139060961916,507.6149043123545
425,182.98,55003000.0,1.5764,8940.8,-575.33,0,797680.0,-0.10003,650.87,1,0.425,0.425,0.3,0,-0.14500158640628413,0.3701080950997623,507.6149043123545
426,181.25,54474000.0,1.5663,8889.2,-613.73,0,795990.0,-0.10751,650.74,1,0.426,0.426,0.3,0,-0.15811749191565427,0.3725694066586066,507.6149043123545
427,179.18,53843000.0,1.5532,8827.6,-660.07,0,793700.0,-0.11764,650.59,1,0.427,0.427,0.3,0,-0.17192617586392211,0.3766917037927199,507.6149043123545
