,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z,s
0,209.5,63079000.0,1.7,9729.0,-2.5724e-10,0,820270.0,-1.3759e-13,652.64,,0.0,0.0,0.3,0,0.32869970180803176,0.3311753550277774,507.61353499549875
1,209.5,63079000.0,1.7,9729.0,-2.6237e-10,0,820270.0,-1.4703e-13,652.64,,0.001,0.001,0.3,0,0.32869970180803176,0.3311753550277774,507.61353499549875
2,209.5,63079000.0,1.7,9729.0,-2.6751e-10,0,820270.0,-1.5648e-13,652.64,,0.002,0.002,0.3,0,0.32869970180803176,0.3311753550277774,507.61353499549875
3,209.5,63079000.0,1.7,9729.0,-2.7265e-10,0,820270.0,-1.6592e-13,652.64,,0.003,0.003,0.3,0,0.32869970180803176,0.3311753550277774,507.61353499549875
4,209.5,63079000.0,1.7,9729.0,-2.7779e-10,0,820270.0,-1.7536e-13,652.64,,0.004,0.004,0.3,0,0.32869970180803176,0.3311753550277774,507.61353499549875
5,209.5,63079000.0,1.7,9729.0,-2.8293e-10,0,820270.0,-1.848e-13,652.64,,0.005,0.005,0.3,0,0.32869970180803176,0.3311753550277774,507.61353499549875
6,209.5,63079000.0,1.7,9729.0,-2.8807e-10,0,820270.0,-1.9424e-13,652.64,,0.006,0.006,0.3,0,0.32869970180803176,0.3311753550277774,507.61353499549875
7,209.5,63079000.0,1.7,9729.0,-2.9321e-10,0,820270.0,-2.0368e-13,652.64,,0.007,0.007,0.3,0,0.32869970180803176,0.3311753550277774,507.61353499549875
8,209.5,63079000.0,1.7,9729.0,-2.9835e-10,0,820270.0,-2.1312e-13,652.64,,0.008,0.008,0.3,0,0.32869970180803176,0.3311753550277774,507.61353499549875
9,209.5,63079000.0,1.7,9729.0,-3.0348e-10,0,820270.0,-2.2256e-13,652.64,,0.009,0.009,0.3,0,0.32869970180803176,0.3311753550277774,507.61353499549875
10,209.5,63079000.0,1.7,9729.0,-3.0862e-10,0,820270.0,-2.32e-13,652.64,,0.01,0.01,0.3,0,0.32869970180803176,0.3311753550277774,507.61353499549875
11,209.5,63079000.0,1.7,9729.0,-3.1376e-10,0,820270.0,-2.4144e-13,652.64,,0.011,0.011,0.3,0,0.32869970180803176,0.3311753550277774,507.61353499549875
12,209.5,63079000.0,1.7,9729.0,-3.189e-10,0,820270.0,-2.5088e-13,652.64,,0.012,0.012,0.3,0,0.32869970180803176,0.3311753550277774,507.61353499549875
