,Index,pressure,density,temperature,soundspeed,Mach,Z,g,A
0,0,0.1,0.06841689195320957,0.9145149246317734,1.7436092749977021,2.066470087551129,0.9602915434573392,0.9778448673355524,3.0703817258179926
1,1,0.1090909090909091,0.07470530884310259,0.9168668534565522,1.7399738432077778,2.02778770538092,0.9569473980277003,0.9746353744568657,2.8715563079514994
2,2,0.1181818181818182,0.08102067872688999,0.9190490860164489,1.7361719460997505,1.9918037683161547,0.9536155530105701,0.9714125908725291,2.701461896765629
3,3,0.1272727272727273,0.08736430824037825,0.9210867852174607,1.7322257969280768,1.9581276411805553,0.9502940268097493,0.9681746290318254,2.5541974382934223
4,4,0.1363636363636363,0.09373738329373485,0.9229999232897032,1.7281528309048757,1.9264476831684372,0.94698113196824,0.9649198676470926,2.425391298605743
5,5,0.1454545454545454,0.1001409967286382,0.924804620189069,1.7239669593782734,1.8965111435526847,0.9436754132474408,0.9616468912171245,2.3117334691373723
6,6,0.1545454545454545,0.10657616889909431,0.9265140764204212,1.7196794392759462,1.8681100881193162,0.9403756017219714,0.9583544459275463,2.2106701053474427
7,7,0.1636363636363636,0.11304386331179965,0.9281392394222964,1.7152994909558574,1.8410713039374205,0.9370805800486972,0.9550414067711729,2.120198137171084
8,8,0.1727272727272727,0.11954499873601966,0.9296892899512303,1.7108347468427407,1.8152489023476188,0.9337893557197483,0.9517067525529109,2.03872360212294
9,9,0.1818181818181818,0.12608045873891113,0.9311720038524508,1.7062915834282673,1.7905187968179601,0.9305010401399997,0.9483495465590588,1.9649617192672237
10,10,0.1909090909090909,0.13265109930977909,0.932594025682287,1.701675371117795,1.7667745116619806,0.9272148320321671,0.9449689213755894,1.897864994778437
11,11,0.2,0.1392577550433934,0.93396107877253,1.6969906650894628,1.7439239535312592,0.9239300041101706,0.9415640667978723,1.836570573340184
12,12,0.2090909090909091,0.14590124422174203,0.9352781286762362,1.6922413530647473,1.721886891303489,0.9206458922569076,0.9381342200790764,1.7803610670250016
13,13,0.2181818181818182,0.15258237304329914,0.9365495118893385,1.6874307711137029,1.7005929652020033,0.9173618866464194,0.9346786579719019,1.728634991432894
14,14,0.2272727272727272,0.1593019391853992,0.9377790383449819,1.6825617954124612,1.6799800967821847,0.9140774243936386,0.9311966901621921,1.680884161208261
15,15,0.2363636363636364,0.16606073483992284,0.9389700738459039,1.6776369156776247,1.659993206383612,0.9107919834172308,0.92768765379459,1.6366762010183342
16,16,0.2454545454545454,0.17285954932954506,0.940125606972519,1.6726582944761783,1.6405831691176562,0.9075050772752842,0.9241509088633229,1.5956408671066369
17,17,0.2545454545454546,0.17969917138757124,0.9412483038499804,1.6676278155306021,1.6217059578636417,0.904216250788206,0.9205858342942747,1.5574592423007845
18,18,0.2636363636363636,0.18658039116630243,0.9423405533272002,1.6625471233652598,1.6033219342925942,0.9009250763038984,0.9169918245836872,1.5218551223259587
19,19,0.2727272727272727,0.19350400202528828,0.9434045045154122,1.6574176560777003,1.5853952581102366,0.8976311504909268,0.9133682868880473,1.4885880906562068
20,20,0.2818181818181818,0.2004708021404411,0.9444420981873457,1.6522406726050145,1.5678933914888593,0.8943340915688016,0.9097146384818274,1.4574479070681157
21,21,0.2909090909090909,0.20748159596701715,0.9454550932048049,1.6470172755476091,1.5507866807300963,0.8910335369024747,0.9060303045165968,1.4282499274455953
22,22,0.3,0.2145371955833048,0.9464450888911556,1.6417484303813574,1.5340480010329338,0.8877291409021089,0.9023147160279663,1.4008313398823793
23,23,0.3090909090909091,0.22163842193698985,0.9474135440740029,1.6364349817136203,1.5176524531620466,0.8844205731801894,0.8985673081469965,1.3750480519839694
24,24,0.3181818181818182,0.2287861060124124,0.9483617933762256,1.6310776671037976,1.501577103065958,0.8811075169266028,0.8947875184804776,1.3507721014609364
25,25,0.3272727272727272,0.2359810899338426,0.9492910612198312,1.6256771288654648,1.4858007572362897,0.8777896674693091,0.8909747856308843,1.327889490123683
26,26,0.3363636363636363,0.2432242280175623,0.9502024739179732,1.6202339241858212,1.4703037679717827,0.8744667309936424,0.8871285478316193,1.3062983626701186
27,27,0.3454545454545454,0.2505163877835482,0.9510970701606313,1.6147485338349283,1.4550678637820875,0.8711384233978089,0.8832482416772401,1.2859074679737037
28,28,0.3545454545454545,0.2578584509360371,0.9519758101439049,1.6092213696868172,1.4400760010262819,0.8678044692657171,0.8793333009315012,1.2666348531707934
29,29,0.3636363636363636,0.26525131432097837,0.9528395835486714,1.6036527812346852,1.4253122335610846,0.8644646009412444,0.875383155398652,1.2484067506488163
30,30,0.3727272727272727,0.27269589086735446,0.9536892165388674,1.5980430612504122,1.4107615977226349,0.8611185576904692,0.8713972298455399,1.231156625714884
31,31,0.3818181818181818,0.2801931105185339,0.9545254779209578,1.5923924507128875,1.3964100104098536,0.8577660849403969,0.8673749429638067,1.2148243587797478
32,32,0.3909090909090909,0.2877439211591581,0.9553490845828575,1.58670114310867,1.3822441783984982,0.8544069335843378,0.8633157063628307,1.1993555406982532
33,33,0.4,0.29534928954248246,0.9561607063116581,1.5809692881917254,1.3682515173062242,0.8510408593455323,0.85921892358532,1.184700863748567
34,34,0.4090909090909091,0.3030102022227024,0.9569609700737987,1.5751969952748834,1.354420078874201,0.8476676221917228,0.8550839891383957,1.170815593812075
35,35,0.4181818181818182,0.3107276664964012,0.9577504638285839,1.569384336114326,1.3407384854258924,0.8442869857943571,0.8509102875337808,1.1576591118094106
36,36,0.4272727272727272,0.3185027113570061,0.9585297399352226,1.5635313474389674,1.3271958705304399,0.8408987170269496,0.8466971923314939,1.1451945144681572
37,37,0.4363636363636364,0.32633638846590374,0.959299318204762,1.5576380331687014,1.3137818250334672,0.8375025854977765,0.842444065181918,1.133388266149845
38,38,0.4454545454545454,0.3342297731437058,0.9600596886408838,1.5517043663590189,1.3004863477300626,0.8340983631127115,0.8381502548616884,1.1222098948202623
39,39,0.4545454545454545,0.3421839653850489,0.9608113139073114,1.5457302909039539,1.2872998000518157,0.8306858236644734,0.833815096299221,1.1116317263631288
40,40,0.4636363636363636,0.35020009090021703,0.9615546315543809,1.539715723024773,1.2742128642159836,0.8272647424449993,0.8294379095860913,1.1016286523672545
41,41,0.4727272727272728,0.35827930218681403,0.962290056032942,1.5336605525680231,1.2612165043502852,0.8238348958780561,0.8250179989708498,1.0921779272917929
42,42,0.4818181818181818,0.3664227796340138,0.9630179805209362,1.5275646441354698,1.2483019301147837,0.8203960611702519,0.8205546518332676,1.0832589916052426
43,43,0.4909090909090908,0.37463173266693517,0.9637387785781019,1.5214278380493855,1.2354605627257087,0.8169480159733638,0.8160471376290617,1.0748533177468214
44,44,0.5,0.38290740092404324,0.964452805661367,1.5152499512023074,1.2226840023283978,0.8134905380673887,0.8114947068195627,1.0669442770993667
45,45,0.509090909090909,0.39125105548426864,0.9651604004989828,1.509030777760522,1.2099639973091183,0.8100234050476022,0.8068965897620249,1.059517025151899
46,46,0.5181818181818182,0.3996640001376723,0.9658618863507552,1.5027700897643115,1.1972924145962698,0.8065463940245864,0.8022519955742726,1.0525584037496225
47,47,0.5272727272727272,0.40814757270691643,0.9665575721617661,1.4964676376225752,1.1846612109302728,0.8030592813315252,0.7975601109657693,1.0460568588389028
48,48,0.5363636363636364,0.41670314642264167,0.9672477536214212,1.4901231505123453,1.1720624048010775,0.7995618422379532,0.7928200990344735,1.0400023726466456
49,49,0.5454545454545454,0.42533213135661113,0.9679327141375134,1.483736336690614,1.1594880488056623,0.7960538506686115,0.7880310980282303,1.034386409443677
50,50,0.5545454545454546,0.4340359759166334,0.9686127257339611,1.4773068837250172,1.1469302021782568,0.7925350789261575,0.7831922200697574,1.0292018742764388
51,51,0.5636363636363636,0.44281616840751953,0.9692880498798283,1.4708344586489783,1.13438090325292,0.7890052974165418,0.7783025498446535,1.024443084264662
52,52,0.5727272727272728,0.45167423866250117,0.969958938256463,1.464318708046328,1.1218321416105654,0.7854642743759634,0.773361143252303,1.020105752279311
53,53,0.5818181818181818,0.4606117597498489,0.9706256334687986,1.4577592580696108,1.1092758296608551,0.7819117755983103,0.7683670260199447,1.016186983022701
54,54,0.5909090909090908,0.4696303497596198,0.9712883697062933,1.4511557143960963,1.0967037733907212,0.7783475641621699,0.7633191922809467,1.0126852817576706
55,55,0.6,0.4787316736758819,0.9719473733583095,1.4445076621245416,1.0841076420033953,0.7747714001563394,0.7582166031186008,1.0096005761563764
56,56,0.609090909090909,0.48791744533994474,0.9726028635883779,1.4378146656159323,1.071478936142829,0.7711830404030133,0.7530581850778736,1.0069342519969584
57,57,0.6181818181818182,0.49718942951064693,0.9732550528712192,1.431076268280628,1.0588089543755603,0.7675822381776811,0.7478428286481065,1.0046892037111894
58,58,0.6272727272727272,0.5065494440279577,0.973904147496148,1.424291992314422,1.0460887575634739,0.763968742924916,0.7425693867208005,1.0028699011074396
59,59,0.6363636363636364,0.5159993620867739,0.9745503480400115,1.417461338385524,1.033309130722097,0.7603422999691549,0.7372366730276805,1.0014824739566834
60,60,0.6454545454545454,0.5255411146280904,0.975193849812625,1.4105837852744734,1.0204605419041088,0.7567026502196401,0.731843460565515,1.0005348165637984
61,61,0.6545454545454545,0.5351766928552664,0.9758348432773793,1.4036587894689394,1.0075330975800347,0.753049529868733,0.7263884800158593,1.0000367149648055
62,62,0.6636363636363636,0.5449081508837543,0.9764735144493852,1.39668578471497,0.9945164939221252,0.7493826700826907,0.7208704181693502,0.9999999999999999
63,63,0.6727272727272727,0.5547376085330435,0.9771100452734539,1.3896641815266695,0.9813999632849479,0.7457017966841748,0.7152879163665125,1.000438730286549
64,64,0.6818181818181818,0.5646672542704211,0.9777446139838951,1.382593366655909,0.9681722150782143,0.7420066298256022,0.709639568969132,1.0013694100268342
65,65,0.6909090909090908,0.5746993483166694,0.9783773954480459,1.3754727025240383,0.954821370073565,0.7382968836525619,0.7039239218791316,1.0028112477544637
66,66,0.7,0.5848362259246651,0.9790085614952619,1.368301526617539,0.9413348870203551,0.7345722659564622,0.6981394711248923,1.0047864635550048
67,67,0.7090909090909091,0.5950803008425952,0.9796382812329931,1.3610791508498654,0.9276994802290073,0.7308324778156063,0.69228466153866,1.0073206541179622
68,68,0.7181818181818181,0.6054340689744321,0.980266721351423,1.3538048608918194,0.913901026521804,0.727077213223839,0.6863578855527306,1.010443227277063
69,69,0.7272727272727273,0.6159001122511414,0.9808940464181373,1.346477915473443,0.8999244596134849,0.7233061587060223,0.6803574821470745,1.0141879206565747
70,70,0.7363636363636363,0.6264811027272982,0.9815204191640678,1.3390975456603535,0.8857536495879378,0.7195189929194192,0.6742817359863229,1.0185934228320457
71,71,0.7454545454545455,0.6371798069186295,0.9821460007620504,1.3316629541086022,0.8713712646034625,0.7157153862403163,0.6681288767908777,1.0237041203829427
72,72,0.7545454545454545,0.6479990903974864,0.9827709510991087,1.324173314302034,0.8567586113181426,0.7118950003349522,0.6618970789937122,1.029571000694878
73,73,0.7636363636363637,0.6589419226642569,0.983395429043644,1.3166277697774722,0.8418954496781226,0.7080574877140781,0.6555844617434312,1.0362527489840947
74,74,0.7727272727272727,0.6700113823142576,0.9840195927086169,1.3090254333436806,0.8267597766313876,0.7042024912703911,0.6491890893238151,1.043817089523031
75,75,0.7818181818181819,0.6812106625211849,0.9846435997117263,1.3013653863008503,0.8113275719278811,0.7003296437980471,0.6427089720710983,1.0523424365909975
76,76,0.7909090909090909,0.6925430768596061,0.9852676074336574,1.2936466776691644,0.7955724973074616,0.6964385674937128,0.6361420678839439,1.061919941940831
77,77,0.8,0.7040120654909511,0.9858917732753291,1.2858683234357011,0.7794655379304422,0.6925288734384293,0.629486284435395,1.0726560549619943
78,78,0.809090909090909,0.7156212017390773,0.9865162549151612,1.2780293058313412,0.762974571596081,0.6886001610599042,0.6227394822143064,1.0846757529336692
79,79,0.8181818181818182,0.7273741990837163,0.9871412105672526,1.270128572650493,0.7460638468229915,0.6846520175746704,0.6158994785430014,1.0981266572934965
80,80,0.8272727272727273,0.7392749186019756,0.9877667992414556,1.2621650366295365,0.7286933446672044,0.6806840174099836,0.6089640527420689,1.1131843363598544
81,81,0.8363636363636364,0.7513273768906755,0.988393181006217,1.2541375749016719,0.7108179905231774,0.6766957216051797,0.6019309526390954,1.130059218900471
82,82,0.8454545454545456,0.7635357545043219,0.989020517255163,1.2460450285497977,0.6923866698482278,0.6726866771927553,0.594797902650138,1.1490057282386725
