,Index,theta,beta
0,0,0.0031415926535897,0.5235987755982989
1,1,0.0204203522483336,0.5410520681182422
2,2,0.0408407044966673,0.5585053606381856
3,3,0.0612610567450009,0.5759586531581288
4,4,0.0801106126665397,0.5934119456780721
5,5,0.0989601685880784,0.6108652381980154
6,6,0.1162389281828223,0.6283185307179587
7,7,0.1335176877775662,0.6457718232379019
8,8,0.15079644737231,0.6632251157578453
9,9,0.166504410640259,0.6806784082777886
10,10,0.182212373908208,0.6981317007977319
11,11,0.1979203371761569,0.7155849933176752
12,12,0.212057504117311,0.7330382858376184
13,13,0.2261946710584651,0.7504915783575618
14,14,0.2387610416728242,0.7679448708775051
15,15,0.2528982086139783,0.7853981633974483
16,16,0.2654645792283375,0.8028514559173916
17,17,0.2780309498426967,0.8203047484373349
18,18,0.289026524130261,0.8377580409572782
19,19,0.2968805057642354,0.8552113334772216
20,20,0.3110176727053895,0.8726646259971648
21,21,0.3204424506661589,0.8901179185171082
22,22,0.3298672286269283,0.9075712110370514
23,23,0.3377212102609027,0.9250245035569946
24,24,0.3471459882216721,0.9424777960769379
25,25,0.3549999698556466,0.9599310885968813
26,26,0.3612831551628262,0.9773843811168246
27,27,0.3675663404700058,0.9948376736367679
28,28,0.3738495257771854,1.0122909661567112
29,29,0.3785619147575701,1.0297442586766543
30,30,0.3817035074111599,1.0471975511965979
31,31,0.3848451000647496,1.064650843716541
32,32,0.3879866927183394,1.0821041362364845
33,33,0.3911282853719292,1.0995574287564276
34,34,0.3911282853719292,1.117010721276371
35,35,0.3911282853719292,1.1344640137963142
36,36,0.3895574890451343,1.1519173063162575
37,37,0.3879866927183394,1.1693705988362009
38,38,0.3848451000647496,1.186823891356144
39,39,0.3817035074111599,1.2042771838760875
40,40,0.3754203221039802,1.2217304763960306
41,41,0.3691371367968007,1.239183768915974
42,42,0.3612831551628262,1.2566370614359172
43,43,0.3518583772020568,1.2740903539558606
44,44,0.3424335992412874,1.2915436464758039
45,45,0.3298672286269283,1.308996938995747
46,46,0.3173008580125691,1.3264502315156905
47,47,0.303163691071415,1.3439035240356336
48,48,0.2858849314766711,1.3613568165555772
49,49,0.2686061718819273,1.3788101090755203
50,50,0.2497566159603885,1.3962634015954638
51,51,0.2293362637120549,1.413716694115407
52,52,0.2089159114637212,1.4311699866353502
53,53,0.1853539665617977,1.4486232791552935
54,54,0.1617920216598743,1.4660765716752366
55,55,0.136659280431156,1.4835298641951802
56,56,0.1099557428756427,1.5009831567151233
57,57,0.0832522053201295,1.5184364492350668
58,58,0.0565486677646162,1.53588974175501
59,59,0.0282743338823081,1.5533430342749532
60,60,0.0,1.5707963267948966
