,Index,vs/vc,ps/Pc
0,0,0.5087592029747586,0.5
1,1,0.5090322603238836,0.501002004008016
2,2,0.5093056135851972,0.5020040080160321
3,3,0.5095792646964123,0.503006012024048
4,4,0.5098532156023833,0.5040080160320641
5,5,0.5101274682551947,0.5050100200400801
6,6,0.5104020246142389,0.5060120240480962
7,7,0.5106768866463143,0.5070140280561123
8,8,0.5109520563256982,0.5080160320641283
9,9,0.5112275356342407,0.5090180360721444
10,10,0.511503326561469,0.5100200400801603
11,11,0.5117794311046487,0.5110220440881763
12,12,0.5120558512688914,0.5120240480961924
13,13,0.5123325890672411,0.5130260521042084
14,14,0.5126096465207615,0.5140280561122245
15,15,0.5128870256586356,0.5150300601202404
16,16,0.5131647285182445,0.5160320641282565
17,17,0.5134427571452796,0.5170340681362725
18,18,0.5137211135938147,0.5180360721442886
19,19,0.5139997999264142,0.5190380761523047
20,20,0.5142788182142234,0.5200400801603207
21,21,0.5145581705370668,0.5210420841683366
22,22,0.5148378589835421,0.5220440881763527
23,23,0.5151178856511118,0.5230460921843687
24,24,0.5153982526462182,0.5240480961923848
25,25,0.5156789620843582,0.5250501002004008
26,26,0.5159600160902004,0.5260521042084167
27,27,0.5162414167976781,0.5270541082164328
28,28,0.516523166350101,0.5280561122244489
29,29,0.5168052669002311,0.5290581162324649
30,30,0.5170877206104085,0.530060120240481
31,31,0.5173705296526571,0.5310621242484971
32,32,0.5176536962087618,0.5320641282565131
33,33,0.5179372224704024,0.533066132264529
34,34,0.5182211106392519,0.5340681362725451
35,35,0.5185053629270678,0.5350701402805611
36,36,0.5187899815558173,0.5360721442885772
37,37,0.5190749687577759,0.5370741482965932
38,38,0.5193603267756497,0.5380761523046091
39,39,0.5196460578626669,0.5390781563126252
40,40,0.5199321642827027,0.5400801603206413
41,41,0.5202186483103886,0.5410821643286573
42,42,0.5205055122312224,0.5420841683366734
43,43,0.52079275834169,0.5430861723446894
44,44,0.5210803889493654,0.5440881763527055
45,45,0.521368406373044,0.5450901803607214
46,46,0.5216568129428535,0.5460921843687375
47,47,0.5219456110003694,0.5470941883767535
48,48,0.52223480289873,0.5480961923847695
49,49,0.5225243910027754,0.5490981963927856
50,50,0.522814377689147,0.5501002004008015
51,51,0.5231047653464261,0.5511022044088176
52,52,0.5233955563752413,0.5521042084168337
53,53,0.5236867531884173,0.5531062124248497
54,54,0.5239783582110774,0.5541082164328658
55,55,0.5242703738807813,0.5551102204408818
56,56,0.5245628026476572,0.5561122244488979
57,57,0.5248556469745199,0.5571142284569138
58,58,0.5251489093370175,0.5581162324649298
59,59,0.5254425922237426,0.5591182364729459
60,60,0.5257366981363897,0.5601202404809619
61,61,0.5260312295898687,0.561122244488978
62,62,0.5263261891124524,0.5621242484969939
63,63,0.5266215792459131,0.56312625250501
64,64,0.5269174025456583,0.5641282565130261
65,65,0.5272136615808689,0.5651302605210421
66,66,0.5275103589346439,0.5661322645290582
67,67,0.5278074972041408,0.5671342685370742
68,68,0.5281050790007294,0.5681362725450901
69,69,0.528403106950112,0.5691382765531062
70,70,0.528701583692509,0.5701402805611222
71,71,0.5290005118827649,0.5711422845691383
72,72,0.5292998941905327,0.5721442885771543
73,73,0.5295997333004053,0.5731462925851704
74,74,0.5299000319120807,0.5741482965931863
75,75,0.5302007927405005,0.5751503006012024
76,76,0.5305020185160292,0.5761523046092185
77,77,0.5308037119845892,0.5771543086172345
78,78,0.5311058759078321,0.5781563126252505
79,79,0.5314085130633032,0.5791583166332666
80,80,0.5317116262445918,0.5801603206412825
81,81,0.532015218261506,0.5811623246492986
82,82,0.5323192919402359,0.5821643286573146
83,83,0.5326238501235215,0.5831663326653306
84,84,0.5329288956708189,0.5841683366733467
85,85,0.533234431458476,0.5851703406813628
86,86,0.5335404603799093,0.5861723446893787
87,87,0.5338469853457699,0.5871743486973948
88,88,0.534154009284126,0.5881763527054108
89,89,0.5344615351406427,0.5891783567134269
90,90,0.5347695658787599,0.5901803607214429
91,91,0.5350781044798825,0.591182364729459
92,92,0.5353871539435469,0.5921843687374749
93,93,0.535696717287636,0.5931863727454909
94,94,0.5360067975485444,0.594188376753507
95,95,0.5363173977813798,0.595190380761523
96,96,0.5366285210601508,0.5961923847695391
97,97,0.5369401704779775,0.5971943887775552
98,98,0.5372523491472608,0.5981963927855711
99,99,0.5375650601999138,0.5991983967935872
100,100,0.5378783067875456,0.6002004008016032
101,101,0.5381920920816635,0.6012024048096193
102,102,0.5385064192738881,0.6022044088176353
103,103,0.5388212915761628,0.6032064128256512
104,104,0.5391367122209587,0.6042084168336673
105,105,0.5394526844614885,0.6052104208416833
106,106,0.5397692115719337,0.6062124248496994
107,107,0.5400862968476526,0.6072144288577154
